Table Names,provincia,poblacion,total,nuevas,mes,anio
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,38,32,4,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,106,105,4,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,1,1,4,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,2,2,4,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,1,1,4,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,3,3,4,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,68,63,4,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,47,43,4,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,21,21,4,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,1,0,4,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,17,17,4,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,2,2,4,2020
muertes_covid_provincias_mensual_2020.csv,Azuay,881394,33,18,5,2020
muertes_covid_provincias_mensual_2020.csv,Bolívar,209933,24,13,5,2020
muertes_covid_provincias_mensual_2020.csv,Carchi,186869,11,6,5,2020
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,30,21,5,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,109,74,5,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,54,35,5,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,183,103,5,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,80,61,5,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,1,0,5,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,1405,1025,5,2020
muertes_covid_provincias_mensual_2020.csv,Imbabura,476257,14,5,5,2020
muertes_covid_provincias_mensual_2020.csv,Loja,521154,21,11,5,2020
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,195,157,5,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,434,328,5,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,3,2,5,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,15,13,5,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,4,3,5,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,5,2,5,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,304,236,5,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,281,234,5,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,74,53,5,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,5,4,5,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,68,51,5,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,5,3,5,2020
muertes_covid_provincias_mensual_2020.csv,Azuay,881394,50,17,6,2020
muertes_covid_provincias_mensual_2020.csv,Bolívar,209933,34,10,6,2020
muertes_covid_provincias_mensual_2020.csv,Carchi,186869,17,6,6,2020
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,45,15,6,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,151,42,6,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,120,66,6,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,251,68,6,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,139,59,6,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,1,0,6,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,1584,179,6,2020
muertes_covid_provincias_mensual_2020.csv,Imbabura,476257,39,25,6,2020
muertes_covid_provincias_mensual_2020.csv,Loja,521154,45,24,6,2020
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,256,61,6,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,627,193,6,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,10,7,6,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,31,16,6,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,18,14,6,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,22,17,6,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,501,197,6,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,325,44,6,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,118,44,6,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,20,15,6,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,107,39,6,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,16,11,6,2020
muertes_covid_provincias_mensual_2020.csv,Azuay,881394,72,22,7,2020
muertes_covid_provincias_mensual_2020.csv,Bolívar,209933,51,17,7,2020
muertes_covid_provincias_mensual_2020.csv,Carchi,186869,29,12,7,2020
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,51,6,7,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,213,62,7,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,167,47,7,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,334,83,7,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,186,47,7,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,1,0,7,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,1656,72,7,2020
muertes_covid_provincias_mensual_2020.csv,Imbabura,476257,71,32,7,2020
muertes_covid_provincias_mensual_2020.csv,Loja,521154,81,36,7,2020
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,316,60,7,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,787,160,7,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,14,4,7,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,49,18,7,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,33,15,7,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,44,22,7,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,718,217,7,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,331,6,7,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,246,128,7,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,50,30,7,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,168,61,7,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,34,18,7,2020
muertes_covid_provincias_mensual_2020.csv,Azuay,881394,117,45,8,2020
muertes_covid_provincias_mensual_2020.csv,Bolívar,209933,56,5,8,2020
muertes_covid_provincias_mensual_2020.csv,Carchi,186869,53,24,8,2020
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,61,10,8,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,262,49,8,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,203,36,8,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,364,30,8,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,200,14,8,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,1,0,8,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,1681,25,8,2020
muertes_covid_provincias_mensual_2020.csv,Imbabura,476257,94,23,8,2020
muertes_covid_provincias_mensual_2020.csv,Loja,521154,160,79,8,2020
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,323,7,8,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,882,95,8,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,19,5,8,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,62,13,8,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,38,5,8,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,48,4,8,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,920,202,8,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,352,21,8,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,324,78,8,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,77,27,8,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,217,49,8,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,42,8,8,2020
muertes_covid_provincias_mensual_2020.csv,Azuay,881394,153,36,9,2020
muertes_covid_provincias_mensual_2020.csv,Bolívar,209933,63,7,9,2020
muertes_covid_provincias_mensual_2020.csv,Carchi,186869,90,37,9,2020
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,70,9,9,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,292,30,9,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,225,22,9,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,395,31,9,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,207,7,9,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,1,0,9,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,1714,33,9,2020
muertes_covid_provincias_mensual_2020.csv,Imbabura,476257,123,29,9,2020
muertes_covid_provincias_mensual_2020.csv,Loja,521154,198,38,9,2020
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,337,14,9,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,938,56,9,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,21,2,9,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,69,7,9,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,51,13,9,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,52,4,9,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,1442,522,9,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,368,16,9,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,347,23,9,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,90,13,9,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,250,33,9,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,50,8,9,2020
muertes_covid_provincias_mensual_2020.csv,Azuay,881394,195,42,10,2020
muertes_covid_provincias_mensual_2020.csv,Bolívar,209933,66,3,10,2020
muertes_covid_provincias_mensual_2020.csv,Carchi,186869,104,14,10,2020
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,82,12,10,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,313,21,10,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,279,54,10,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,464,69,10,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,216,9,10,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,1,0,10,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,1737,23,10,2020
muertes_covid_provincias_mensual_2020.csv,Imbabura,476257,169,46,10,2020
muertes_covid_provincias_mensual_2020.csv,Loja,521154,222,24,10,2020
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,342,5,10,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,1023,85,10,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,22,1,10,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,74,5,10,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,53,2,10,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,60,8,10,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,1785,343,10,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,368,0,10,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,361,14,10,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,92,2,10,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,276,26,10,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,53,3,10,2020
muertes_covid_provincias_mensual_2020.csv,Azuay,881394,210,15,11,2020
muertes_covid_provincias_mensual_2020.csv,Bolívar,209933,69,3,11,2020
muertes_covid_provincias_mensual_2020.csv,Carchi,186869,110,6,11,2020
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,89,7,11,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,335,22,11,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,296,17,11,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,548,84,11,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,222,6,11,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,2,1,11,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,1784,47,11,2020
muertes_covid_provincias_mensual_2020.csv,Imbabura,476257,185,16,11,2020
muertes_covid_provincias_mensual_2020.csv,Loja,521154,241,19,11,2020
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,353,11,11,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,1188,165,11,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,29,7,11,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,75,1,11,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,53,0,11,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,60,0,11,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,1982,197,11,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,382,14,11,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,367,6,11,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,97,5,11,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,293,17,11,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,54,1,11,2020
muertes_covid_provincias_mensual_2020.csv,Azuay,881394,222,12,12,2020
muertes_covid_provincias_mensual_2020.csv,Bolívar,209933,71,2,12,2020
muertes_covid_provincias_mensual_2020.csv,Carchi,186869,122,12,12,2020
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,103,14,12,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,344,9,12,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,311,15,12,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,569,21,12,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,241,19,12,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,4,2,12,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,1859,75,12,2020
muertes_covid_provincias_mensual_2020.csv,Imbabura,476257,214,29,12,2020
muertes_covid_provincias_mensual_2020.csv,Loja,521154,246,5,12,2020
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,361,8,12,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,1297,109,12,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,36,7,12,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,78,3,12,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,53,0,12,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,63,3,12,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,2025,43,12,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,385,3,12,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,374,7,12,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,98,1,12,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,341,48,12,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,56,2,12,2020
