provincia,poblacion,total,nuevas,semana,anio
Pichincha,3228233,672,36,30,2020
Santa Elena,401178,329,1,30,2020
Sto. Domingo Tsáchilas,511151,225,19,30,2020
Sucumbíos,230503,39,14,30,2020
Tungurahua,590600,168,11,30,2020
Zamora Chinchipe,120416,34,6,30,2020
Azuay,881394,72,1,31,2020
Bolívar,209933,51,1,31,2020
Carchi,186869,29,9,31,2020
Cañar,281396,51,3,31,2020
Chimborazo,524004,221,18,31,2020
Cotopaxi,488716,168,6,31,2020
El Oro,715751,334,9,31,2020
Esmeraldas,591083,186,13,31,2020
Galápagos,33042,1,0,31,2020
Guayas,4387434,1657,6,31,2020
Imbabura,476257,72,11,31,2020
Loja,521154,87,22,31,2020
Los Ríos,921763,316,2,31,2020
Manabí,1562079,800,28,31,2020
Morona Santiago,196535,14,1,31,2020
Napo,133705,49,1,31,2020
Orellana,161338,34,2,31,2020
Pastaza,114202,44,5,31,2020
Pichincha,3228233,729,57,31,2020
Santa Elena,401178,331,2,31,2020
Sto. Domingo Tsáchilas,511151,249,24,31,2020
Sucumbíos,230503,50,11,31,2020
Tungurahua,590600,171,3,31,2020
Zamora Chinchipe,120416,34,0,31,2020
Azuay,881394,93,21,32,2020
Bolívar,209933,53,2,32,2020
Carchi,186869,30,1,32,2020
Cañar,281396,56,5,32,2020
Chimborazo,524004,228,7,32,2020
Cotopaxi,488716,173,5,32,2020
El Oro,715751,340,6,32,2020
Esmeraldas,591083,190,4,32,2020
Galápagos,33042,1,0,32,2020
Guayas,4387434,1664,7,32,2020
Imbabura,476257,76,4,32,2020
Loja,521154,109,22,32,2020
Los Ríos,921763,319,3,32,2020
Manabí,1562079,815,15,32,2020
Morona Santiago,196535,16,2,32,2020
Napo,133705,51,2,32,2020
Orellana,161338,34,0,32,2020
Pastaza,114202,44,0,32,2020
Pichincha,3228233,772,43,32,2020
Santa Elena,401178,331,0,32,2020
Sto. Domingo Tsáchilas,511151,260,11,32,2020
Sucumbíos,230503,57,7,32,2020
Tungurahua,590600,172,1,32,2020
Zamora Chinchipe,120416,38,4,32,2020
Azuay,881394,95,2,33,2020
Bolívar,209933,53,0,33,2020
Carchi,186869,33,3,33,2020
Cañar,281396,59,3,33,2020
Chimborazo,524004,231,3,33,2020
Cotopaxi,488716,182,9,33,2020
El Oro,715751,347,7,33,2020
Esmeraldas,591083,193,3,33,2020
Galápagos,33042,1,0,33,2020
Guayas,4387434,1666,2,33,2020
Imbabura,476257,85,9,33,2020
Loja,521154,120,11,33,2020
Los Ríos,921763,321,2,33,2020
Manabí,1562079,827,12,33,2020
Morona Santiago,196535,17,1,33,2020
Napo,133705,53,2,33,2020
Orellana,161338,34,0,33,2020
Pastaza,114202,45,1,33,2020
Pichincha,3228233,803,31,33,2020
Santa Elena,401178,334,3,33,2020
Sto. Domingo Tsáchilas,511151,288,28,33,2020
Sucumbíos,230503,68,11,33,2020
Tungurahua,590600,177,5,33,2020
Zamora Chinchipe,120416,38,0,33,2020
Azuay,881394,102,7,34,2020
Bolívar,209933,54,1,34,2020
Carchi,186869,42,9,34,2020
Cañar,281396,59,0,34,2020
Chimborazo,524004,242,11,34,2020
Cotopaxi,488716,194,12,34,2020
El Oro,715751,356,9,34,2020
Esmeraldas,591083,196,3,34,2020
Galápagos,33042,1,0,34,2020
Guayas,4387434,1670,4,34,2020
Imbabura,476257,87,2,34,2020
Loja,521154,145,25,34,2020
Los Ríos,921763,321,0,34,2020
Manabí,1562079,866,39,34,2020
Morona Santiago,196535,18,1,34,2020
Napo,133705,56,3,34,2020
Orellana,161338,37,3,34,2020
Pastaza,114202,46,1,34,2020
Pichincha,3228233,884,81,34,2020
Santa Elena,401178,339,5,34,2020
Sto. Domingo Tsáchilas,511151,296,8,34,2020
Sucumbíos,230503,71,3,34,2020
Tungurahua,590600,188,11,34,2020
Zamora Chinchipe,120416,40,2,34,2020
Azuay,881394,117,15,35,2020
Bolívar,209933,56,2,35,2020
Carchi,186869,53,11,35,2020
Cañar,281396,61,2,35,2020
Chimborazo,524004,262,20,35,2020
Cotopaxi,488716,203,9,35,2020
El Oro,715751,364,8,35,2020
Esmeraldas,591083,200,4,35,2020
Galápagos,33042,1,0,35,2020
Guayas,4387434,1681,11,35,2020
Imbabura,476257,94,7,35,2020
Loja,521154,159,14,35,2020
Los Ríos,921763,323,2,35,2020
Manabí,1562079,882,16,35,2020
Morona Santiago,196535,19,1,35,2020
Napo,133705,62,6,35,2020
Orellana,161338,38,1,35,2020
Pastaza,114202,48,2,35,2020
Pichincha,3228233,920,36,35,2020
Santa Elena,401178,352,13,35,2020
Sto. Domingo Tsáchilas,511151,324,28,35,2020
Sucumbíos,230503,77,6,35,2020
Tungurahua,590600,217,29,35,2020
Zamora Chinchipe,120416,42,2,35,2020
Azuay,881394,124,7,36,2020
Bolívar,209933,58,2,36,2020
Carchi,186869,61,8,36,2020
Cañar,281396,62,1,36,2020
Chimborazo,524004,270,8,36,2020
Cotopaxi,488716,206,3,36,2020
El Oro,715751,365,1,36,2020
Esmeraldas,591083,201,1,36,2020
Galápagos,33042,1,0,36,2020
Guayas,4387434,1691,10,36,2020
Imbabura,476257,96,2,36,2020
Loja,521154,174,15,36,2020
Los Ríos,921763,324,1,36,2020
Manabí,1562079,898,16,36,2020
Morona Santiago,196535,19,0,36,2020
Napo,133705,62,0,36,2020
Orellana,161338,38,0,36,2020
Pastaza,114202,48,0,36,2020
Pichincha,3228233,1026,106,36,2020
Santa Elena,401178,355,3,36,2020
Sto. Domingo Tsáchilas,511151,328,4,36,2020
Sucumbíos,230503,87,10,36,2020
Tungurahua,590600,233,16,36,2020
Zamora Chinchipe,120416,43,1,36,2020
Azuay,881394,137,13,37,2020
Bolívar,209933,60,2,37,2020
Carchi,186869,72,11,37,2020
Cañar,281396,62,0,37,2020
Chimborazo,524004,281,11,37,2020
Cotopaxi,488716,210,4,37,2020
El Oro,715751,382,17,37,2020
Esmeraldas,591083,203,2,37,2020
Galápagos,33042,1,0,37,2020
Guayas,4387434,1697,6,37,2020
Imbabura,476257,106,10,37,2020
Loja,521154,185,11,37,2020
Los Ríos,921763,330,6,37,2020
Manabí,1562079,908,10,37,2020
Morona Santiago,196535,19,0,37,2020
Napo,133705,64,2,37,2020
Orellana,161338,46,8,37,2020
Pastaza,114202,49,1,37,2020
Pichincha,3228233,1248,222,37,2020
Santa Elena,401178,359,4,37,2020
Sto. Domingo Tsáchilas,511151,334,6,37,2020
Sucumbíos,230503,88,1,37,2020
Tungurahua,590600,234,1,37,2020
Zamora Chinchipe,120416,44,1,37,2020
Azuay,881394,145,8,38,2020
Bolívar,209933,61,1,38,2020
Carchi,186869,82,10,38,2020
Cañar,281396,66,4,38,2020
Chimborazo,524004,290,9,38,2020
Cotopaxi,488716,217,7,38,2020
El Oro,715751,385,3,38,2020
Esmeraldas,591083,205,2,38,2020
Galápagos,33042,1,0,38,2020
Guayas,4387434,1705,8,38,2020
Imbabura,476257,108,2,38,2020
Loja,521154,188,3,38,2020
Los Ríos,921763,331,1,38,2020
Manabí,1562079,920,12,38,2020
Morona Santiago,196535,20,1,38,2020
Napo,133705,67,3,38,2020
Orellana,161338,49,3,38,2020
Pastaza,114202,50,1,38,2020
Pichincha,3228233,1328,80,38,2020
Santa Elena,401178,361,2,38,2020
Sto. Domingo Tsáchilas,511151,343,9,38,2020
Sucumbíos,230503,89,1,38,2020
Tungurahua,590600,239,5,38,2020
Zamora Chinchipe,120416,46,2,38,2020
Azuay,881394,150,5,39,2020
Bolívar,209933,63,2,39,2020
Carchi,186869,89,7,39,2020
Cañar,281396,69,3,39,2020
Chimborazo,524004,292,2,39,2020
Cotopaxi,488716,221,4,39,2020
El Oro,715751,390,5,39,2020
Esmeraldas,591083,206,1,39,2020
Galápagos,33042,1,0,39,2020
Guayas,4387434,1713,8,39,2020
Imbabura,476257,118,10,39,2020
Loja,521154,195,7,39,2020
Los Ríos,921763,337,6,39,2020
Manabí,1562079,931,11,39,2020
Morona Santiago,196535,21,1,39,2020
Napo,133705,69,2,39,2020
Orellana,161338,51,2,39,2020
Pastaza,114202,52,2,39,2020
Pichincha,3228233,1417,89,39,2020
Santa Elena,401178,365,4,39,2020
Sto. Domingo Tsáchilas,511151,345,2,39,2020
Sucumbíos,230503,90,1,39,2020
Tungurahua,590600,244,5,39,2020
Zamora Chinchipe,120416,47,1,39,2020
Azuay,881394,158,8,40,2020
Bolívar,209933,63,0,40,2020
Carchi,186869,91,2,40,2020
Cañar,281396,71,2,40,2020
Chimborazo,524004,295,3,40,2020
Cotopaxi,488716,233,12,40,2020
El Oro,715751,417,27,40,2020
Esmeraldas,591083,207,1,40,2020
Galápagos,33042,1,0,40,2020
Guayas,4387434,1718,5,40,2020
Imbabura,476257,125,7,40,2020
Loja,521154,203,8,40,2020
Los Ríos,921763,337,0,40,2020
Manabí,1562079,961,30,40,2020
Morona Santiago,196535,21,0,40,2020
Napo,133705,70,1,40,2020
Orellana,161338,52,1,40,2020
Pastaza,114202,57,5,40,2020
Pichincha,3228233,1592,175,40,2020
Santa Elena,401178,368,3,40,2020
Sto. Domingo Tsáchilas,511151,348,3,40,2020
Sucumbíos,230503,90,0,40,2020
Tungurahua,590600,263,19,40,2020
Zamora Chinchipe,120416,51,4,40,2020
Azuay,881394,163,5,41,2020
Bolívar,209933,63,0,41,2020
Carchi,186869,96,5,41,2020
Cañar,281396,72,1,41,2020
Chimborazo,524004,302,7,41,2020
Cotopaxi,488716,240,7,41,2020
El Oro,715751,420,3,41,2020
Esmeraldas,591083,207,0,41,2020
Galápagos,33042,1,0,41,2020
Guayas,4387434,1722,4,41,2020
Imbabura,476257,132,7,41,2020
Loja,521154,206,3,41,2020
Los Ríos,921763,338,1,41,2020
Manabí,1562079,979,18,41,2020
Morona Santiago,196535,22,1,41,2020
Napo,133705,73,3,41,2020
Orellana,161338,53,1,41,2020
Pastaza,114202,58,1,41,2020
Pichincha,3228233,1680,88,41,2020
Santa Elena,401178,368,0,41,2020
Sto. Domingo Tsáchilas,511151,348,0,41,2020
Sucumbíos,230503,91,1,41,2020
Tungurahua,590600,263,0,41,2020
Zamora Chinchipe,120416,52,1,41,2020
Azuay,881394,170,7,42,2020
Bolívar,209933,64,1,42,2020
Carchi,186869,98,2,42,2020
Cañar,281396,77,5,42,2020
Chimborazo,524004,303,1,42,2020
Cotopaxi,488716,271,31,42,2020
El Oro,715751,437,17,42,2020
Esmeraldas,591083,207,0,42,2020
Galápagos,33042,1,0,42,2020
Guayas,4387434,1728,6,42,2020
Imbabura,476257,159,27,42,2020
Loja,521154,210,4,42,2020
Los Ríos,921763,339,1,42,2020
Manabí,1562079,989,10,42,2020
Morona Santiago,196535,22,0,42,2020
Napo,133705,74,1,42,2020
Orellana,161338,53,0,42,2020
Pastaza,114202,59,1,42,2020
Pichincha,3228233,1710,30,42,2020
Santa Elena,401178,368,0,42,2020
Sto. Domingo Tsáchilas,511151,351,3,42,2020
Sucumbíos,230503,91,0,42,2020
Tungurahua,590600,266,3,42,2020
Zamora Chinchipe,120416,52,0,42,2020
Azuay,881394,183,13,43,2020
Bolívar,209933,65,1,43,2020
Carchi,186869,101,3,43,2020
Cañar,281396,81,4,43,2020
Chimborazo,524004,309,6,43,2020
Cotopaxi,488716,277,6,43,2020
El Oro,715751,445,8,43,2020
Esmeraldas,591083,216,9,43,2020
Galápagos,33042,1,0,43,2020
Guayas,4387434,1734,6,43,2020
Imbabura,476257,163,4,43,2020
Loja,521154,221,11,43,2020
Los Ríos,921763,341,2,43,2020
Manabí,1562079,1007,18,43,2020
Morona Santiago,196535,22,0,43,2020
Napo,133705,74,0,43,2020
Orellana,161338,53,0,43,2020
Pastaza,114202,60,1,43,2020
Pichincha,3228233,1752,42,43,2020
Santa Elena,401178,368,0,43,2020
Sto. Domingo Tsáchilas,511151,359,8,43,2020
Sucumbíos,230503,92,1,43,2020
Tungurahua,590600,271,5,43,2020
Zamora Chinchipe,120416,53,1,43,2020
Azuay,881394,195,12,44,2020
Bolívar,209933,66,1,44,2020
Carchi,186869,104,3,44,2020
Cañar,281396,83,2,44,2020
Chimborazo,524004,315,6,44,2020
Cotopaxi,488716,281,4,44,2020
El Oro,715751,466,21,44,2020
Esmeraldas,591083,216,0,44,2020
Galápagos,33042,1,0,44,2020
Guayas,4387434,1737,3,44,2020
Imbabura,476257,170,7,44,2020
Loja,521154,222,1,44,2020
Los Ríos,921763,342,1,44,2020
Manabí,1562079,1025,18,44,2020
Morona Santiago,196535,22,0,44,2020
Napo,133705,74,0,44,2020
Orellana,161338,53,0,44,2020
Pastaza,114202,60,0,44,2020
Pichincha,3228233,1789,37,44,2020
Santa Elena,401178,368,0,44,2020
Sto. Domingo Tsáchilas,511151,361,2,44,2020
Sucumbíos,230503,92,0,44,2020
Tungurahua,590600,276,5,44,2020
Zamora Chinchipe,120416,53,0,44,2020
Azuay,881394,199,4,45,2020
Bolívar,209933,66,0,45,2020
Carchi,186869,104,0,45,2020
Cañar,281396,84,1,45,2020
Chimborazo,524004,318,3,45,2020
Cotopaxi,488716,283,2,45,2020
El Oro,715751,494,28,45,2020
Esmeraldas,591083,218,2,45,2020
Galápagos,33042,1,0,45,2020
Guayas,4387434,1743,6,45,2020
Imbabura,476257,172,2,45,2020
Loja,521154,230,8,45,2020
Los Ríos,921763,343,1,45,2020
Manabí,1562079,1067,42,45,2020
Morona Santiago,196535,22,0,45,2020
Napo,133705,74,0,45,2020
Orellana,161338,53,0,45,2020
Pastaza,114202,60,0,45,2020
Pichincha,3228233,1822,33,45,2020
Santa Elena,401178,368,0,45,2020
Sto. Domingo Tsáchilas,511151,362,1,45,2020
Sucumbíos,230503,93,1,45,2020
Tungurahua,590600,278,2,45,2020
Zamora Chinchipe,120416,53,0,45,2020
Azuay,881394,199,0,46,2020
Bolívar,209933,66,0,46,2020
Carchi,186869,106,2,46,2020
Cañar,281396,85,1,46,2020
Chimborazo,524004,329,11,46,2020
Cotopaxi,488716,288,5,46,2020
El Oro,715751,502,8,46,2020
Esmeraldas,591083,221,3,46,2020
Galápagos,33042,1,0,46,2020
Guayas,4387434,1751,8,46,2020
Imbabura,476257,175,3,46,2020
Loja,521154,233,3,46,2020
Los Ríos,921763,345,2,46,2020
Manabí,1562079,1140,73,46,2020
Morona Santiago,196535,22,0,46,2020
Napo,133705,74,0,46,2020
Orellana,161338,53,0,46,2020
Pastaza,114202,60,0,46,2020
Pichincha,3228233,1857,35,46,2020
Santa Elena,401178,368,0,46,2020
Sto. Domingo Tsáchilas,511151,365,3,46,2020
Sucumbíos,230503,94,1,46,2020
Tungurahua,590600,282,4,46,2020
Zamora Chinchipe,120416,53,0,46,2020
Azuay,881394,202,3,47,2020
Bolívar,209933,67,1,47,2020
Carchi,186869,109,3,47,2020
Cañar,281396,87,2,47,2020
Chimborazo,524004,332,3,47,2020
Cotopaxi,488716,293,5,47,2020
El Oro,715751,518,16,47,2020
Esmeraldas,591083,222,1,47,2020
Galápagos,33042,1,0,47,2020
Guayas,4387434,1757,6,47,2020
Imbabura,476257,178,3,47,2020
Loja,521154,238,5,47,2020
Los Ríos,921763,348,3,47,2020
Manabí,1562079,1172,32,47,2020
Morona Santiago,196535,24,2,47,2020
Napo,133705,75,1,47,2020
Orellana,161338,53,0,47,2020
Pastaza,114202,60,0,47,2020
Pichincha,3228233,1884,27,47,2020
Santa Elena,401178,379,11,47,2020
Sto. Domingo Tsáchilas,511151,366,1,47,2020
Sucumbíos,230503,95,1,47,2020
Tungurahua,590600,291,9,47,2020
Zamora Chinchipe,120416,53,0,47,2020
Azuay,881394,210,8,48,2020
Bolívar,209933,69,2,48,2020
Carchi,186869,110,1,48,2020
Cañar,281396,89,2,48,2020
Chimborazo,524004,335,3,48,2020
Cotopaxi,488716,296,3,48,2020
El Oro,715751,548,30,48,2020
Esmeraldas,591083,222,0,48,2020
Galápagos,33042,1,0,48,2020
Guayas,4387434,1784,27,48,2020
Imbabura,476257,185,7,48,2020
Loja,521154,241,3,48,2020
Los Ríos,921763,353,5,48,2020
Manabí,1562079,1187,15,48,2020
Morona Santiago,196535,29,5,48,2020
Napo,133705,75,0,48,2020
Orellana,161338,53,0,48,2020
Pastaza,114202,60,0,48,2020
Pichincha,3228233,1949,65,48,2020
Santa Elena,401178,382,3,48,2020
Sto. Domingo Tsáchilas,511151,367,1,48,2020
Sucumbíos,230503,97,2,48,2020
Tungurahua,590600,293,2,48,2020
Zamora Chinchipe,120416,54,1,48,2020
Azuay,881394,215,5,49,2020
Bolívar,209933,71,2,49,2020
Carchi,186869,111,1,49,2020
Cañar,281396,98,9,49,2020
Chimborazo,524004,340,5,49,2020
Cotopaxi,488716,303,7,49,2020
El Oro,715751,553,5,49,2020
Esmeraldas,591083,236,14,49,2020
Galápagos,33042,3,2,49,2020
Guayas,4387434,1839,55,49,2020
Imbabura,476257,189,4,49,2020
Loja,521154,242,1,49,2020
Los Ríos,921763,359,6,49,2020
Manabí,1562079,1246,59,49,2020
Morona Santiago,196535,34,5,49,2020
Napo,133705,75,0,49,2020
Orellana,161338,53,0,49,2020
Pastaza,114202,61,1,49,2020
Pichincha,3228233,2000,51,49,2020
Santa Elena,401178,383,1,49,2020
Sto. Domingo Tsáchilas,511151,370,3,49,2020
Sucumbíos,230503,97,0,49,2020
Tungurahua,590600,336,43,49,2020
Zamora Chinchipe,120416,54,0,49,2020
Azuay,881394,219,4,50,2020
Bolívar,209933,71,0,50,2020
Carchi,186869,114,3,50,2020
Cañar,281396,99,1,50,2020
Chimborazo,524004,344,4,50,2020
Cotopaxi,488716,303,0,50,2020
El Oro,715751,553,0,50,2020
Esmeraldas,591083,237,1,50,2020
Galápagos,33042,4,1,50,2020
Guayas,4387434,1851,12,50,2020
Imbabura,476257,194,5,50,2020
Loja,521154,245,3,50,2020
Los Ríos,921763,361,2,50,2020
Manabí,1562079,1257,11,50,2020
Morona Santiago,196535,35,1,50,2020
Napo,133705,75,0,50,2020
Orellana,161338,53,0,50,2020
Pastaza,114202,61,0,50,2020
Pichincha,3228233,2015,15,50,2020
Santa Elena,401178,383,0,50,2020
Sto. Domingo Tsáchilas,511151,371,1,50,2020
Sucumbíos,230503,98,1,50,2020
Tungurahua,590600,339,3,50,2020
Zamora Chinchipe,120416,55,1,50,2020
Azuay,881394,220,1,51,2020
Bolívar,209933,71,0,51,2020
Carchi,186869,118,4,51,2020
Cañar,281396,99,0,51,2020
Chimborazo,524004,344,0,51,2020
Cotopaxi,488716,308,5,51,2020
El Oro,715751,561,8,51,2020
Esmeraldas,591083,237,0,51,2020
Galápagos,33042,4,0,51,2020
Guayas,4387434,1855,4,51,2020
Imbabura,476257,214,20,51,2020
Loja,521154,245,0,51,2020
Los Ríos,921763,361,0,51,2020
Manabí,1562079,1271,14,51,2020
Morona Santiago,196535,35,0,51,2020
Napo,133705,75,0,51,2020
Orellana,161338,53,0,51,2020
Pastaza,114202,62,1,51,2020
Pichincha,3228233,2018,3,51,2020
Santa Elena,401178,383,0,51,2020
Sto. Domingo Tsáchilas,511151,373,2,51,2020
Sucumbíos,230503,98,0,51,2020
Tungurahua,590600,340,1,51,2020
Zamora Chinchipe,120416,55,0,51,2020
Azuay,881394,222,2,52,2020
Bolívar,209933,71,0,52,2020
Carchi,186869,118,0,52,2020
Cañar,281396,102,3,52,2020
Chimborazo,524004,344,0,52,2020
Cotopaxi,488716,310,2,52,2020
El Oro,715751,564,3,52,2020
Esmeraldas,591083,239,2,52,2020
Galápagos,33042,4,0,52,2020
Guayas,4387434,1857,2,52,2020
Imbabura,476257,214,0,52,2020
Loja,521154,245,0,52,2020
Los Ríos,921763,361,0,52,2020
Manabí,1562079,1287,16,52,2020
Morona Santiago,196535,36,1,52,2020
Napo,133705,76,1,52,2020
Orellana,161338,53,0,52,2020
Pastaza,114202,63,1,52,2020
Pichincha,3228233,2023,5,52,2020
Santa Elena,401178,383,0,52,2020
Sto. Domingo Tsáchilas,511151,374,1,52,2020
Sucumbíos,230503,98,0,52,2020
Tungurahua,590600,340,0,52,2020
Zamora Chinchipe,120416,55,0,52,2020
Azuay,881394,222,0,53,2020
Bolívar,209933,72,1,53,2020
Carchi,186869,122,4,53,2020
Cañar,281396,103,1,53,2020
Chimborazo,524004,345,1,53,2020
Cotopaxi,488716,312,2,53,2020
El Oro,715751,571,7,53,2020
Esmeraldas,591083,241,2,53,2020
Galápagos,33042,5,1,53,2020
Guayas,4387434,1859,2,53,2020
Imbabura,476257,214,0,53,2020
Loja,521154,246,1,53,2020
Los Ríos,921763,361,0,53,2020
Manabí,1562079,1301,14,53,2020
Morona Santiago,196535,36,0,53,2020
Napo,133705,78,2,53,2020
Orellana,161338,53,0,53,2020
Pastaza,114202,63,0,53,2020
Pichincha,3228233,2027,4,53,2020
Santa Elena,401178,385,2,53,2020
Sto. Domingo Tsáchilas,511151,376,2,53,2020
Sucumbíos,230503,98,0,53,2020
Tungurahua,590600,341,1,53,2020
Zamora Chinchipe,120416,56,1,53,2020
